Region, Date,UnemploymentRate
Jammu & Kashmir,2020-03-31,16.0
Assam,2020-03-31,3.77
Uttarakhand,2020-04-30,3.66
Meghalaya,2020-04-30,17.39
Tamil Nadu,2020-04-30,45.55
Gujarat,2020-04-30,12.0
Uttar Pradesh,2020-04-30,19.92
Himachal Pradesh,2020-04-30,2.13
Gujarat,2020-04-30,25.94
Meghalaya,2020-04-30,8.38
Punjab,2020-04-30,1.13
Tripura,2020-04-30,34.88
Tripura,2020-04-30,43.64
Madhya Pradesh,2020-04-30,11.94
Delhi,2020-04-30,20.69
Uttar Pradesh,2020-04-30,26.94
Telangana,2020-04-30,4.51
Karnataka,2020-04-30,25.12
Odisha,2020-04-30,24.48
Tamil Nadu,2020-04-30,53.19
Rajasthan,2020-04-30,35.53
Goa,2020-04-30,15.91
Sikkim,2020-04-30,0.0
West Bengal,2020-04-30,15.63
Puducherry,2020-04-30,74.51
Rajasthan,2020-04-30,12.25
Karnataka,2020-04-30,33.17
Kerala,2020-04-30,21.43
Punjab,2020-04-30,3.69
Chhattisgarh,2020-04-30,0.0
Andhra Pradesh,2020-04-30,16.29
Sikkim,2020-04-30,5.77
Haryana,2020-04-30,46.89
Kerala,2020-04-30,10.71
Bihar,2020-04-30,58.77
Odisha,2020-04-30,20.5
West Bengal,2020-04-30,18.32
Bihar,2020-04-30,45.09
Haryana,2020-04-30,41.61
Goa,2020-04-30,11.76
Chhattisgarh,2020-04-30,20.13
Madhya Pradesh,2020-04-30,12.5
Himachal Pradesh,2020-04-30,2.7
Assam,2020-04-30,8.37
Jharkhand,2020-04-30,41.72
Jharkhand,2020-04-30,61.48
Andhra Pradesh,2020-04-30,32.3
Maharashtra,2020-04-30,25.28
Uttarakhand,2020-04-30,13.18
Maharashtra,2020-04-30,14.99
Puducherry,2020-04-30,76.74
Delhi,2020-04-30,16.51
Telangana,2020-04-30,10.5
Sikkim,2020-05-31,19.75
Uttar Pradesh,2020-05-31,32.06
Karnataka,2020-05-31,23.72
Odisha,2020-05-31,9.45
Tripura,2020-05-31,16.78
Kerala,2020-05-31,23.38
Jharkhand,2020-05-31,55.1
Jammu & Kashmir,2020-05-31,2.22
Meghalaya,2020-05-31,3.73
Madhya Pradesh,2020-05-31,22.46
Maharashtra,2020-05-31,16.89
Gujarat,2020-05-31,14.58
Tamil Nadu,2020-05-31,25.95
Haryana,2020-05-31,34.22
Telangana,2020-05-31,36.57
Kerala,2020-05-31,30.28
Himachal Pradesh,2020-05-31,25.64
Uttarakhand,2020-05-31,17.36
Assam,2020-05-31,10.77
Punjab,2020-05-31,40.59
Jammu & Kashmir,2020-05-31,12.96
Odisha,2020-05-31,10.0
Bihar,2020-05-31,37.87
Jharkhand,2020-05-31,70.17
Bihar,2020-05-31,47.26
Meghalaya,2020-05-31,14.58
Delhi,2020-05-31,45.78
Andhra Pradesh,2020-05-31,14.46
Gujarat,2020-05-31,11.62
Assam,2020-05-31,9.38
Haryana,2020-05-31,38.46
Chhattisgarh,2020-05-31,24.1
Himachal Pradesh,2020-05-31,50.0
Andhra Pradesh,2020-05-31,24.91
West Bengal,2020-05-31,18.43
Rajasthan,2020-05-31,10.45
Goa,2020-05-31,20.0
Rajasthan,2020-05-31,25.35
Karnataka,2020-05-31,15.88
Tamil Nadu,2020-05-31,38.73
Delhi,2020-05-31,22.76
West Bengal,2020-05-31,15.22
Telangana,2020-05-31,34.01
Tripura,2020-05-31,14.71
Madhya Pradesh,2020-05-31,40.49
Uttar Pradesh,2020-05-31,16.89
Chhattisgarh,2020-05-31,7.64
Uttarakhand,2020-05-31,3.57
Puducherry,2020-05-31,75.0
Punjab,2020-05-31,20.54
Maharashtra,2020-05-31,15.92
Uttar Pradesh,2020-06-30,13.05
Haryana,2020-06-30,35.57
Assam,2020-06-30,0.0
Bihar,2020-06-30,20.49
Gujarat,2020-06-30,1.41
Chhattisgarh,2020-06-30,10.14
Delhi,2020-06-30,21.14
Andhra Pradesh,2020-06-30,0.85
Uttarakhand,2020-06-30,5.08
Rajasthan,2020-06-30,13.86
Tripura,2020-06-30,27.47
Puducherry,2020-06-30,4.55
West Bengal,2020-06-30,4.94
Andhra Pradesh,2020-06-30,5.86
Assam,2020-06-30,3.42
Odisha,2020-06-30,2.18
Bihar,2020-06-30,12.45
Chandigarh,2020-06-30,7.22
Uttarakhand,2020-06-30,10.71
Chhattisgarh,2020-06-30,27.07
Gujarat,2020-06-30,4.54
Maharashtra,2020-06-30,10.01
Haryana,2020-06-30,29.41
Himachal Pradesh,2020-06-30,10.81
Jharkhand,2020-06-30,19.38
Madhya Pradesh,2020-06-30,12.72
Karnataka,2020-06-30,6.12
Delhi,2020-06-30,18.11
Uttar Pradesh,2020-06-30,8.51
Tripura,2020-06-30,18.84
Punjab,2020-06-30,10.55
Jammu & Kashmir,2020-06-30,18.97
Jharkhand,2020-06-30,21.53
Karnataka,2020-06-30,10.92
Telangana,2020-06-30,6.92
Kerala,2020-06-30,27.66
Madhya Pradesh,2020-06-30,6.46
Tamil Nadu,2020-06-30,24.93
Maharashtra,2020-06-30,9.4
Meghalaya,2020-06-30,1.35
Odisha,2020-06-30,4.59
Sikkim,2020-06-30,2.63
Punjab,2020-06-30,20.0
Kerala,2020-06-30,12.17
Rajasthan,2020-06-30,13.04
Sikkim,2020-06-30,5.81
Tamil Nadu,2020-06-30,2.06
Telangana,2020-06-30,19.3
Himachal Pradesh,2020-06-30,1.12
West Bengal,2020-06-30,9.86
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
